
b'2018-11-24T20:39:27.630000Z 4154.71\n'
b'2018-11-24T20:39:27.630000Z 4154.71\n'
b'2018-11-24T20:39:28.752000Z 4154.71\n'
b'2018-11-24T20:39:30.887000Z 4154.71\n'
b'2018-11-24T20:39:33.603000Z 4154.71\n'
b'2018-11-24T20:39:35.426000Z 4150.03\n'
b'2018-11-24T20:39:35.426000Z 4150.0\n'
b'2018-11-24T20:39:39.820000Z 4153.6\n'
b'2018-11-24T20:39:40.958000Z 4153.53\n'
b'2018-11-24T20:39:41.468000Z 4150.44\n'
b'2018-11-24T20:39:42.003000Z 4153.36\n'
b'2018-11-24T20:39:43.381000Z 4153.08\n'
b'2018-11-24T20:39:46.287000Z 4152.73\n'
b'2018-11-24T20:39:49.748000Z 4152.5\n'
b'2018-11-24T20:39:50.928000Z 4152.43\n'
b'2018-11-24T20:39:51.280000Z 4151.09\n'
b'2018-11-24T20:39:52.536000Z 4150.27\n'
b'2018-11-24T20:39:55.802000Z 4152.2\n'
b'2018-11-24T20:39:58.490000Z 4150.4\n'
b'2018-11-24T20:40:01.071000Z 4151.83\n'
b'2018-11-24T20:40:13.423000Z 4150.87\n'
b'2018-11-24T20:40:14.878000Z 4152.73\n'
b'2018-11-24T20:40:16.625000Z 4152.58\n'
b'2018-11-24T20:40:18.623000Z 4150.26\n'
b'2018-11-24T20:40:21.985000Z 4152.08\n'
b'2018-11-24T20:40:29.561000Z 4151.75\n'
